Separador: sdds
Quiosque: Mogi das Cruzes

SKU	Planejado	Bipado	Status
--------------------------------------------------
sofia	2	0	❌ Faltando
helena	1	0	❌ Faltando
canguru rosa	20	0	❌ Faltando
prendedor menina	20	5	▼ A menos (15)
prendedor menino	20	0	❌ Faltando
kit completo rosa	40	0	❌ Faltando
roupa menina	40	0	❌ Faltando
roupa menino	20	0	❌ Faltando
